x,y,z
0.003553187,,0.012461059
-0.001991591,,-0.009230769
-0.005432373,,0.01242236
-0.004012931,,0
0.002126469,,0.003067485
0,,0.009174312
0,,0.015151515
0.005360733,,0.002985075
-0.000111086,,0.00297619
0.000555494,,0.068249258
0.002998001,,0
0.005424554,,-0.033333333
0,,0.005747126
0,,0
0.004514424,,-0.022857143
0.007892141,,-0.00877193
0.0045677,,0.026548673
0.004655191,,0
0.006788793,,0
0,,-0.002873563
0,,-0.011527378
0.002354704,,0.005830904
-0.004591564,,0
-0.002467282,,0
-0.003011076,,0
-0.002588718,,0.020289855
0,,-0.019886364
0,,0.002898551
0,,-0.002890173
0.001189575,,0.002898551
-0.000648088,,0
0.009511457,,0
-0.000107066,,-0.011560694
0,,-0.020467836
0,,0
0.000321234,,0.002985075
0.001284522,,0
0.000641437,,-0.00297619
0.002991453,,0
0.008841074,,-0.002985075
0,,0.023952096
0,,-0.005847953
-0.000105585,,0
-0.001689546,,0
0,,-0.002941176
0.000423101,,0
0,,-0.002949853
0,,0.023668639
0,,0
-0.001903151,,0
-0.002436441,,0.011560694
-0.006690029,,-0.008571429
0.002672653,,0
0.001705939,,0.002881844
0,,-0.020114943
0,,0.002932551
0.005002661,,0
0.003495022,,0
0,,0
0.003799472,,0
0.001156556,,-0.002923977
0,,0
0,,-0.002932551
0.00010502,,0.002941176
0.000735062,,0
0.018258132,,0
0.002370157,,0
0.004009458,,0.002932551
0,,-0.005847953
0,,0
0.004607823,,0.002941176
0.002038528,,0
0.000406876,,0
0.00264362,,0
0.004462022,,0
0,,0.026392962
0,,-0.002857143
0.009490156,,0
0.00450045,,0.005730659
0.006969335,,-0.002849003
0.002471821,,-0.008571429
0.005424598,,0
0,,0.002881844
0,,0
0.005591524,,0
0.008096771,,0
0.006870524,,0
0.003555983,,0
0.002873013,,0.002873563
0,,-0.005730659
0,,0
0.007925898,,0.005763689
0.005400284,,-0.00286533
0.006784772,,0.005747126
0.028079371,,0
0.053987618,,0
0,,0
0,,0.002857143
0.013561372,,0.005698006
-0.003408897,,0.005665722
-0.000513084,,0.014084507
0.004534565,,0
0.00051103,,0.013888889
0,,0.002739726
0,,-0.005464481
-0.005788712,,-0.005494505
-0.003681822,,0.005524862
-0.003781368,,-0.010989011
0.00405452,,0
0.004897328,,0
0,,-0.005555556
0,,0.002793296
-0.003248974,,0.005571031
-0.00171556,,0.004155125
-0.003351091,,0.012413793
-0.00637986,,0
-0.005553145,,-0.005449591
0,,-0.01369863
0,,0.002777778
-0.002094058,,-0.002770083
0,,0.005555556
0.001311533,,-0.002762431
0.002444988,,0
0.008972125,,-0.002770083
0,,-0.008333333
0,,-0.005602241
0.00328067,,0
-0.002839687,,0.002816901
-0.002502589,,-0.005617978
-0.000346051,,0
